DATE,TIME,実績(万kW)
2018/1/9,6:00,3434
2018/1/9,7:00,3816
2018/1/9,8:00,4187
2018/1/9,9:00,4352
2018/1/9,10:00,4247
2018/1/9,11:00,4060
2018/1/9,12:00,3755
2018/1/9,13:00,3803
2018/1/9,14:00,3747
2018/1/9,15:00,3757
2018/1/9,16:00,3970
2018/1/9,17:00,4202
2018/1/9,18:00,4210
2018/1/9,19:00,4118
2018/1/9,20:00,4009
2018/1/9,21:00,3858
2018/1/9,22:00,3671
2018/1/9,23:00,3428
2018/1/10,0:00,3138
2018/1/10,1:00,2999
2018/1/10,2:00,2942
2018/1/10,3:00,2919
2018/1/10,4:00,2948
2018/1/10,5:00,3157
2018/1/10,6:00,3647
2018/1/10,7:00,3969
2018/1/10,8:00,4188
2018/1/10,9:00,4242
2018/1/10,10:00,4104
2018/1/10,11:00,4003
2018/1/10,12:00,3788
2018/1/10,13:00,3884
2018/1/10,14:00,3882
2018/1/10,15:00,3902
2018/1/10,16:00,4116
2018/1/10,17:00,4359
2018/1/10,18:00,4349
2018/1/10,19:00,4260
2018/1/10,20:00,4140
2018/1/10,21:00,3959
2018/1/10,22:00,3754
2018/1/10,23:00,3512
2018/1/11,0:00,3213
2018/1/11,1:00,3073
2018/1/11,2:00,3015
2018/1/11,3:00,2986
2018/1/11,4:00,3025
2018/1/11,5:00,3246
2018/1/11,6:00,3746
2018/1/11,7:00,4084
2018/1/11,8:00,4295
2018/1/11,9:00,4343
2018/1/11,10:00,4205
2018/1/11,11:00,4098
2018/1/11,12:00,3867
2018/1/11,13:00,3942
2018/1/11,14:00,3938
2018/1/11,15:00,3983
2018/1/11,16:00,4251
2018/1/11,17:00,4560
2018/1/11,18:00,4588
2018/1/11,19:00,4493
2018/1/11,20:00,4380
2018/1/11,21:00,4219
2018/1/11,22:00,4008
2018/1/11,23:00,3755
2018/1/12,0:00,3450
2018/1/12,1:00,3281
2018/1/12,2:00,3193
2018/1/12,3:00,3146
2018/1/12,4:00,3188
2018/1/12,5:00,3429
2018/1/12,6:00,3980
2018/1/12,7:00,4400
2018/1/12,8:00,4628
2018/1/12,9:00,4654
2018/1/12,10:00,4476
2018/1/12,11:00,4324
2018/1/12,12:00,4087
2018/1/12,13:00,4167
2018/1/12,14:00,4155
2018/1/12,15:00,4185
2018/1/12,16:00,4407
2018/1/12,17:00,4666
2018/1/12,18:00,4659
2018/1/12,19:00,4556
2018/1/12,20:00,4437
2018/1/12,21:00,4272
2018/1/12,22:00,4087
2018/1/12,23:00,3867
2018/1/13,0:00,3583
2018/1/13,1:00,3404
2018/1/13,2:00,3284
2018/1/13,3:00,3216
2018/1/13,4:00,3187
2018/1/13,5:00,3287
2018/1/13,6:00,3594
2018/1/13,7:00,3923
2018/1/13,8:00,4213
2018/1/13,9:00,4272
2018/1/13,10:00,4100
2018/1/13,11:00,3932
2018/1/13,12:00,3743
2018/1/13,13:00,3697
2018/1/13,14:00,3651
2018/1/13,15:00,3656
2018/1/13,16:00,3868
2018/1/13,17:00,4202
2018/1/13,18:00,4267
2018/1/13,19:00,4232
2018/1/13,20:00,4168
2018/1/13,21:00,4007
2018/1/13,22:00,3775
2018/1/13,23:00,3581
2018/1/14,0:00,3311
2018/1/14,1:00,3145
2018/1/14,2:00,3041
2018/1/14,3:00,2968
2018/1/14,4:00,2931
2018/1/14,5:00,2996
2018/1/14,6:00,3204
2018/1/14,7:00,3456
2018/1/14,8:00,3647
2018/1/14,9:00,3684
2018/1/14,10:00,3575
2018/1/14,11:00,3458
2018/1/14,12:00,3370
2018/1/14,13:00,3289
2018/1/14,14:00,3254
2018/1/14,15:00,3311
2018/1/14,16:00,3558
2018/1/14,17:00,3997
2018/1/14,18:00,4142
2018/1/14,19:00,4147
2018/1/14,20:00,4114
2018/1/14,21:00,3966
2018/1/14,22:00,3721
2018/1/14,23:00,3491
2018/1/15,0:00,3222
2018/1/15,1:00,3075
2018/1/15,2:00,2993
2018/1/15,3:00,2973
2018/1/15,4:00,3030
2018/1/15,5:00,3291
2018/1/15,6:00,3866
2018/1/15,7:00,4292
2018/1/15,8:00,4579
2018/1/15,9:00,4676
2018/1/15,10:00,4576
